Manufacturer,Model Name,MP,Channels
Panasonic,WV-SFV481,9,1
Panasonic,WV-S65340-Z4G,2,1
Panasonic,WV-NS202A,0.4,1
Panasonic,WV-U2142LAJ,4,1
Panasonic,WV-S6532LNUX,2
Panasonic,WV-NW502S,1.3,1
Panasonic,WV-S22700-V2L,8,1
Panasonic,WV-SFN130,5,1
Panasonic,WV-S8544L,4,4
Panasonic,A-46-F,4,1
Panasonic,WV-S2536LT,2,1
Pelco,IBP232-1ER,2,1
Pelco,IMP121-1ES,1,1
Pelco,IMM12018,3,4
Pelco,IBV229-1ER,2,1
Pelco,IBV529-1ER,5,1
Pelco,IJV223-1ERS,2,1
Pelco,IME238-1ERS,2,1
Pelco,IME238-1IRS,2,1
Pelco,IME238-1IRS-TSCCB1025157,2,1
Pelco,IME3122,3,1
Pelco,IME3122-ADSVN95,2,1
Pelco,IME329,3,1
Pelco,IME332-1IRS,3,1
Pelco,IMF82-1ES,8,1
Pelco,IMM12027,12,5
ReoLink,RLC-520A,5,1
TruVision,TVGP-M01-0401-TUR-W,4,1
Smartview,Smart-ipc,,
Sony,SNC-DH140T,1,1
Sony,SNC-EM600,2,1
Sony,SNC-CH110,1.3,1
Sony,SNC-DH180,1,1
Sony,SNC-EM631,2.1,1
Sony,SNC-EM632R,2.1,1
Sony,SNC-EM602R,1.3,1
Sony,SRG-XB25,8,1
Sony,SNC-DH260,3,1
Speco,O2D5M,2,1
Speco,O2MD2,2,1
Speco,O2iD4M,2,1
Speco,O4VT2G,3.5,1
Speco,O8D2M,8,1
USAVision,UA-R500F2,5,1
Uniview,IPC354SR3-ADNPF28-F,4,1
Uniview,IPFE5360X,5,1
Uniview,IPT528AIX,5,1
Uniview,IPC672LR-AX4DUPKC,2,1
Vivotek,IB9388-HT,5,1
Vivotek,CC9381-HV-V2,5,1
Vivocon Industries Inc.,V2360W-12-1-S31300057,12,1
Vicon Industries Inc.,V2360W-12-1-S22602960,12,1
Vicon Industries Inc.,V2105D-W313MIR,5,1
i-PRO,M-5360,5,1
i-Pro,WV-U2530LAJ,2,1
i-Pro,WV-S3131L,2,1
i-Pro,WV-S2536LG,2,1
i-Pro,WV-S65340-Z2,2,1
i-Pro,WV-S2236L,2,1
i-Pro,WV-S2572L,8,1
i-PRO,WV-S2136L,2,1
i-PRO,WV-U2140LA,4,1
i-PRO,WV-U2142LA,4,1
i-PRO,WV-U2530LA,2,1
i-PRO,WV-U2532LA,2,1
i-PRO,WV-U2540LA,2,1
i-Pro,WV-U2540L,2,1
i-PRO,WV-U2530LA,2,1
i-Pro,WV-NW484S,1,1
pelco,IMP1110-1,5,1
pelco,P2230L-ESR,2,1
pelco,IME229,2,1
Illustra,IFS03-D21-AT03,3,1
LTS,CMIP7342WB-28MDA,4,1
LTS,CMIP3382W-28MDA,8,1
ReoLink,RLC-520A,5,1
Milesight,MS-C5375-PD,5,1

